         ns       /tb_DFF/sin    
          delta                  
          0  +0             x 
    1051500  +0             5 
    1113500  +0             6 
    1263500  +0             7 
    1413500  +0             8 
    2172500  +2             7 
    2323500  +0             6 
    2473500  +0             5 
    2534500  +2             4 
    2623500  +0             3 
    2685500  +0             2 
    2773500  +0             1 
    2835500  +0             0 
    2923500  +0            -1 
    2985500  +0            -2 
    3073500  +0            -3 
    3135500  +0            -4 
    3223500  +0            -5 
    3285500  +0            -6 
    3435500  +0            -7 
    3585500  +0            -8 
    4344500  +2            -7 
    4495500  +0            -6 
    4645500  +0            -5 
    4706500  +2            -4 
    4795500  +0            -3 
    4857500  +0            -2 
    4945500  +0            -1 
    5007500  +0             0 
    5095500  +0             1 
    5157500  +0             2 
    5245500  +0             3 
    5307500  +0             4 
    5395500  +0             5 
    5457500  +0             6 
    5607500  +0             7 
    5757500  +0             8 
    6516500  +2             7 
    6667500  +0             6 
    6817500  +0             5 
    6878500  +2             4 
    6967500  +0             3 
    7029500  +0             2 
    7117500  +0             1 
    7179500  +0             0 
    7267500  +0            -1 
    7329500  +0            -2 
    7417500  +0            -3 
    7479500  +0            -4 
    7567500  +0            -5 
    7629500  +0            -6 
    7779500  +0            -7 
    7929500  +0            -8 
    8688500  +2            -7 
    8839500  +0            -6 
    8989500  +0            -5 
    9050500  +2            -4 
    9139500  +0            -3 
    9201500  +0            -2 
    9289500  +0            -1 
    9351500  +0             0 
    9439500  +0             1 
    9501500  +0             2 
    9589500  +0             3 
    9651500  +0             4 
    9739500  +0             5 
    9801500  +0             6 
    9951500  +0             7 
   10101500  +0             8 
   10860500  +2             7 
   11011500  +0             6 
   11161500  +0             5 
   11222500  +2             4 
   11311500  +0             3 
   11373500  +0             2 
   11461500  +0             1 
   11523500  +0             0 
   11611500  +0            -1 
   11673500  +0            -2 
   11761500  +0            -3 
   11823500  +0            -4 
   11911500  +0            -5 
   11973500  +0            -6 
   12123500  +0            -7 
   12273500  +0            -8 
   13032500  +2            -7 
   13183500  +0            -6 
   13333500  +0            -5 
   13394500  +2            -4 
   13483500  +0            -3 
   13545500  +0            -2 
   13633500  +0            -1 
   13695500  +0             0 
   13783500  +0             1 
   13845500  +0             2 
   13933500  +0             3 
   13995500  +0             4 
   14083500  +0             5 
   14145500  +0             6 
   14295500  +0             7 
   14445500  +0             8 
   15204500  +2             7 
   15355500  +0             6 
   15505500  +0             5 
   15566500  +2             4 
   15655500  +0             3 
   15717500  +0             2 
   15805500  +0             1 
   15867500  +0             0 
   15955500  +0            -1 
   16017500  +0            -2 
   16105500  +0            -3 
   16167500  +0            -4 
   16255500  +0            -5 
   16317500  +0            -6 
   16467500  +0            -7 
   16617500  +0            -8 
   17376500  +2            -7 
   17527500  +0            -6 
   17677500  +0            -5 
   17738500  +2            -4 
   17827500  +0            -3 
   17889500  +0            -2 
   17977500  +0            -1 
   18039500  +0             0 
   18127500  +0             1 
   18189500  +0             2 
   18277500  +0             3 
   18339500  +0             4 
   18427500  +0             5 
   18489500  +0             6 
   18639500  +0             7 
   18789500  +0             8 
   19548500  +2             7 
   19699500  +0             6 
   19849500  +0             5 
   19910500  +2             4 
   19999500  +0             3 
   20061500  +0             2 
   20149500  +0             1 
   20211500  +0             0 
   20299500  +0            -1 
   20361500  +0            -2 
   20449500  +0            -3 
   20511500  +0            -4 
   20599500  +0            -5 
   20661500  +0            -6 
   20811500  +0            -7 
   20961500  +0            -8 
   21720500  +2            -7 
   21871500  +0            -6 
   22021500  +0            -5 
   22082500  +2            -4 
   22171500  +0            -3 
   22233500  +0            -2 
   22321500  +0            -1 
   22383500  +0             0 
   22471500  +0             1 
   22533500  +0             2 
   22621500  +0             3 
   22683500  +0             4 
   22771500  +0             5 
   22833500  +0             6 
   22983500  +0             7 
   23133500  +0             8 
   23892500  +2             7 
   24043500  +0             6 
   24193500  +0             5 
   24254500  +2             4 
   24343500  +0             3 
   24405500  +0             2 
   24493500  +0             1 
   24555500  +0             0 
   24643500  +0            -1 
   24705500  +0            -2 
   24793500  +0            -3 
   24855500  +0            -4 
   24943500  +0            -5 
   25005500  +0            -6 
   25155500  +0            -7 
   25305500  +0            -8 
   26064500  +2            -7 
   26215500  +0            -6 
   26365500  +0            -5 
   26426500  +2            -4 
   26515500  +0            -3 
   26577500  +0            -2 
   26665500  +0            -1 
   26727500  +0             0 
   26815500  +0             1 
   26877500  +0             2 
   26965500  +0             3 
   27027500  +0             4 
   27115500  +0             5 
   27177500  +0             6 
   27327500  +0             7 
   27477500  +0             8 
   28236500  +2             7 
   28387500  +0             6 
   28537500  +0             5 
   28598500  +2             4 
   28687500  +0             3 
   28749500  +0             2 
